file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,project
/content/ck/repos_java/java-design-patterns/async-method-invocation/src/test/java/com/iluwatar/async/method/invocation/AppTest.java,com.iluwatar.async.method.invocation.AppTest,class,2,2,0,2,1,1,0,2,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/reactor/src/main/java/com/iluwatar/reactor/framework/ThreadPoolDispatcher.java,com.iluwatar.reactor.framework.ThreadPoolDispatcher,class,2,4,2,2,4,1,0,7,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,15,0,0,0,0,0,0,1,1,0,1,1,0,0,1,80,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/template-method/src/main/java/com/iluwatar/templatemethod/SubtleMethod.java,com.iluwatar.templatemethod.SubtleMethod,class,2,4,2,2,3,2,0,1,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,3,0,0,0,0,0,0,0,0,23,1,2,java-design-patterns
/content/ck/repos_java/java-design-patterns/marker-interface/src/main/java/Thief.java,Thief,class,1,3,2,1,2,1,0,1,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,11,1,2,java-design-patterns
/content/ck/repos_java/java-design-patterns/event-queue/src/test/java/com/iluwatar/event/queue/AudioTest.java,com.iluwatar.event.queue.AudioTest,class,3,3,0,3,4,1,0,8,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,1,0,0,1,0,0,0,0,2,23,0,0,0,0,0,4,7,1,0,1,0,0,0,0,39,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/extension-objects/src/main/java/units/CommanderUnit.java,units.CommanderUnit,class,3,6,3,3,3,2,0,4,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,1,0,0,0,0,1,0,0,1,10,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/anti-corruption-layer/src/main/java/com/iluwatar/corruption/system/ShopException.java,com.iluwatar.corruption.system.ShopException,class,1,4,3,1,2,3,0,0,1,0.0,0.0,0.0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,2,0,0,0,0,0,26,1,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/strangler/src/test/java/com/iluwatar/strangler/OldArithmeticTest.java,com.iluwatar.strangler.OldArithmeticTest,class,3,3,0,3,2,1,0,3,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,1,0,1,0,0,1,0,0,9,0,0,0,0,0,0,8,1,0,1,0,0,0,0,12,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/curiously-recurring-template-pattern/src/test/java/crtp/AppTest.java,crtp.AppTest,class,2,2,0,2,1,1,0,2,0,0.0,,,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,java-design-patterns
/content/ck/repos_java/java-design-patterns/special-case/src/main/java/com/iluwatar/specialcase/Db.java,com.iluwatar.specialcase.Db,class,4,8,4,4,10,1,0,9,0,0.5416667,0.0,0.0,6,1,6,0,0,0,6,0,0,1,4,1,0,4,0,0,0,0,0,62,7,0,1,0,0,0,0,8,0,8,1,0,3,0,37,1,0,java-design-patterns
